ID,Round,Home,Away,Phase,Team_In_Poss,Location,Side,Play_Start,Points_Difference,Seconds_Remaining,Yellow_Cards_Own,Yellow_Cards_Opp,Red_Cards_Own,Red_Cards_Opp,Outcome
170,1,Harlequins,Sale,1,Away,10m-22m (opp),Left,Lineout,-14,792,0,0,0,0,Against Converted Try (-7)
171,1,Harlequins,Sale,2,Away,10m-22m (opp),Centre,Lineout,-14,783,0,0,0,0,Against Converted Try (-7)
172,1,Harlequins,Sale,3,Away,10m-22m (opp),Centre,Lineout,-14,777,0,0,0,0,Against Converted Try (-7)
173,1,Harlequins,Sale,1,Away,10m-22m (opp),Centre,Scrum,-14,712,0,0,0,0,Against Converted Try (-7)
174,1,Harlequins,Sale,2,Away,22m-5m (opp),Left,Scrum,-14,697,0,0,0,0,Against Converted Try (-7)
175,1,Harlequins,Sale,3,Away,22m-5m (opp),Centre,Scrum,-14,692,0,0,0,0,Against Converted Try (-7)
176,1,Harlequins,Sale,4,Away,22m-5m (opp),Centre,Scrum,-14,686,0,0,0,0,Against Converted Try (-7)
177,1,Harlequins,Sale,5,Away,22m-5m (opp),Right,Scrum,-14,678,0,0,0,0,Against Converted Try (-7)
178,1,Harlequins,Sale,6,Away,5m-Goal (opp),Centre,Scrum,-14,673,0,0,0,0,Against Converted Try (-7)
179,1,Harlequins,Sale,1,Home,5m-22m (own),Centre,Turnover Steal,14,672,0,0,0,0,For Converted Try (+7)
180,1,Harlequins,Sale,2,Home,10m-Half (own),Centre,Turnover Steal,14,663,0,0,0,0,For Converted Try (+7)
181,1,Harlequins,Sale,3,Home,10m-22m (opp),Left,Turnover Steal,14,651,0,0,0,0,For Converted Try (+7)
182,1,Harlequins,Sale,4,Home,10m-22m (opp),Centre,Turnover Steal,14,643,0,0,0,0,For Converted Try (+7)
183,1,Harlequins,Sale,5,Home,10m-22m (opp),Right,Turnover Steal,14,634,0,0,0,0,For Converted Try (+7)
184,1,Harlequins,Sale,6,Home,10m-22m (opp),Right,Turnover Steal,14,630,0,0,0,0,For Converted Try (+7)
185,1,Harlequins,Sale,7,Home,22m-5m (opp),Centre,Turnover Steal,14,612,0,0,0,0,For Converted Try (+7)
186,1,Harlequins,Sale,8,Home,22m-5m (opp),Right,Turnover Steal,14,590,0,0,0,0,For Converted Try (+7)
187,1,Harlequins,Sale,1,Away,10m-22m (opp),Right,Restart Kick,-21,504,0,0,0,0,Against Converted Try (-7)
188,1,Harlequins,Sale,2,Away,10m-22m (opp),Centre,Restart Kick,-21,495,0,0,0,0,Against Converted Try (-7)
189,1,Harlequins,Sale,3,Away,10m-22m (opp),Right,Restart Kick,-21,487,0,0,0,0,Against Converted Try (-7)
190,1,Harlequins,Sale,1,Home,22m-10m (own),Left,Lineout,21,454,0,0,0,0,For Converted Try (+7)
191,1,Harlequins,Sale,1,Away,22m-10m (own),Left,Kick (Open Play),-21,434,0,0,0,0,Against Converted Try (-7)
192,1,Harlequins,Sale,1,Home,22m-5m (opp),Left,Lineout,21,378,0,0,0,0,For Converted Try (+7)
193,1,Harlequins,Sale,1,Away,22m-10m (own),Right,Scrum,-21,326,0,0,0,0,Against Converted Try (-7)
194,1,Harlequins,Sale,2,Away,22m-10m (own),Left,Scrum,-21,307,0,0,0,0,Against Converted Try (-7)
195,1,Harlequins,Sale,1,Home,22m-5m (opp),Centre,Scrum,21,257,0,0,0,0,For Converted Try (+7)
196,1,Harlequins,Sale,2,Home,22m-5m (opp),Centre,Scrum,21,200,0,0,0,0,For Converted Try (+7)
197,1,Harlequins,Sale,3,Home,22m-5m (opp),Left,Scrum,21,193,0,0,0,0,For Converted Try (+7)
198,1,Harlequins,Sale,1,Home,22m-5m (opp),Right,Lineout,21,146,0,0,0,0,For Converted Try (+7)
199,1,Harlequins,Sale,2,Home,5m-Goal (opp),Right,Lineout,21,135,0,0,0,0,For Converted Try (+7)
200,1,Harlequins,Sale,3,Home,5m-Goal (opp),Right,Lineout,21,120,0,0,0,0,For Converted Try (+7)
201,1,Harlequins,Sale,1,Home,22m-10m (own),Left,Restart Kick,28,23,0,0,0,0,End of Half / Match (0)
202,1,Harlequins,Sale,2,Home,22m-10m (own),Centre,Restart Kick,28,15,0,0,0,0,End of Half / Match (0)
203,1,Harlequins,Sale,3,Home,22m-10m (own),Left,Restart Kick,28,3,0,0,0,0,End of Half / Match (0)
204,1,Newcastle,Saracens,1,Away,5m-22m (own),Right,Restart Kick,0,4795,0,0,0,0,Against Penalty Kick (-3)
205,1,Newcastle,Saracens,2,Away,5m-22m (own),Right,Restart Kick,0,4783,0,0,0,0,Against Penalty Kick (-3)
206,1,Newcastle,Saracens,1,Away,22m-10m (own),Right,Kick (Open Play),0,4778,0,0,0,0,Against Penalty Kick (-3)
207,1,Newcastle,Saracens,2,Away,5m-22m (own),Left,Kick (Open Play),0,4765,0,0,0,0,Against Penalty Kick (-3)
208,1,Newcastle,Saracens,3,Away,22m-10m (own),Left,Kick (Open Play),0,4750,0,0,0,0,Against Penalty Kick (-3)
209,1,Newcastle,Saracens,4,Away,22m-10m (own),Left,Kick (Open Play),0,4736,0,0,0,0,Against Penalty Kick (-3)
210,1,Newcastle,Saracens,1,Home,10m-Half (own),Right,Kick (Open Play),0,4729,0,0,0,0,For Penalty Kick (+3)
